mainform;variation;count;details
peufra;peufra, ppe-fra, pe-fra, peu-fra, pefra, pé-fra, peuffra, pe-ffra, ppé-fra, pper-fra, 'ppe-fra', per-fra, peffra;211;peufra (78), ppe-fra (62), pe-fra (26), peu-fra (24), pefra (8), pé-fra (3), peuffra (2), pe-ffra (2), ppé-fra (2), pper-fra (1), 'ppe-fra' (1), per-fra (1), peffra (1)
battle;battle, battles;178;battle (124), battles (54)
hess;hess, hass, lahess, hess', hass', lahass, larhess;615;hess (405), hass (195), lahess (8), hess' (4), hass' (1), lahass (1), larhess (1)
te-tê;te-tê, te-té, teté, teuté, tetê, tetés, te-tés, teu-tê, teu-té, teu-tés, te-tês, teus-tê, teutés;248;te-tê (186), te-té (26), teté (13), teuté (7), tetê (4), tetés (2), te-tés (2), teu-tê (2), teu-té (2), teu-tés (1), te-tês (1), teus-tê (1), teutés (1)
seille-o;seille-o, zeillo, seill-o, zeille-o, seil-o, seillo, seille-o', 'seille-o, zei-llo, seilleo, seileos, 'seillo, zeil-o, zeill-o, zeilo;183;seille-o (140), zeillo (11), seill-o (11), zeille-o (6), seil-o (2), seillo (2), seille-o' (2), 'seille-o (2), zei-llo (1), seilleo (1), seileos (1), 'seillo (1), zeil-o (1), zeill-o (1), zeilo (1)
couz;couz, couz', cous', couzs;314;couz (127), couz' (122), cous' (60), couzs (5)
jump;jump, jumper, jumpin', jumping, jumpent, jump';115;jump (76), jumper (32), jumpin' (2), jumping (2), jumpent (2), jump' (1)
paro;paro, paro';275;paro (264), paro' (11)
fake;fake, fakes;189;fake (131), fakes (58)
tel-hô;tel-hô, tel-ho, télo, tels-hô, telho, tél-hô, tels-ho, tel-ho', tel-ô, télho;232;tel-hô (142), tel-ho (66), télo (7), tels-hô (5), telho (4), tél-hô (3), tels-ho (2), tel-ho' (1), tel-ô (1), télho (1)
merco;merco, merco', mercos, merco-benz, merco-benzo;248;merco (224), merco' (9), mercos (7), merco-benz (7), merco-benzo (1)
tard-pé;tard-pé, tarpé, tar-pé, tarpés, tards-pé, tar-pés, tard-pé', 'tard-pé', tard-p';231;tard-pé (86), tarpé (74), tar-pé (36), tarpés (17), tards-pé (12), tar-pés (2), tard-pé' (2), 'tard-pé' (1), tard-p' (1)
seufs;seufs, seuf, sseufs, sses-f', seuf', sse-fe, sseuf, sseuf', seuff, sse-f', seuffs, seufs', ssef, sseufs', seuf's, 'sseuf, sse-fés, sse-f, sse-fes, sse-fé, ssef';277;seufs (181), seuf (31), sseufs (18), sses-f' (7), seuf' (7), sse-fe (6), sseuf (4), sseuf' (3), seuff (3), sse-f' (3), seuffs (2), seufs' (2), ssef (2), sseufs' (1), seuf's (1), 'sseuf (1), sse-fés (1), sse-f (1), sse-fes (1), sse-fé (1), ssef' (1)
lope-sa;lope-sa, lossa, lopes-sa, lossas, losa, lopsa, lo-sa, lops-sa, los-sa, losas, lope-sas, loppes-sa, lopesa, lopsale, 'lopes-sa', lo-ssa, lopsas, lopes-s;164;lope-sa (55), lossa (40), lopes-sa (24), lossas (11), losa (8), lopsa (6), lo-sa (5), lops-sa (4), los-sa (2), losas (1), lope-sas (1), loppes-sa (1), lopesa (1), lopsale (1), 'lopes-sa' (1), lo-ssa (1), lopsas (1), lopes-s (1)
hagar;hagar, hagra, hagars, hagras, hagrah, hagar', haggra;258;hagar (129), hagra (111), hagars (7), hagras (4), hagrah (4), hagar' (2), haggra (1)
instru;instru, instrus, instru', instrus';593;instru (454), instrus (81), instru' (56), instrus' (2)
tain-p';tain-p', tainp, tainp', timp', timp, timpes, timps, tainps, tains-p', tain-p, timpe, taimp', taimp, tains-p, 'tains-p', tainpes, tinp, tinp', 'tainp, tainpe, timps', tain-p's, tain-ps, tains', tainsp', taimpe, timp's, tinpes, tinps, tin-p', 'tain-p';228;tain-p' (38), tainp (26), tainp' (25), timp' (16), timp (16), timpes (12), timps (12), tainps (12), tains-p' (12), tain-p (11), timpe (7), taimp' (4), taimp (4), tains-p (4), 'tains-p' (4), tainpes (3), tinp (3), tinp' (3), 'tainp (2), tainpe (2), timps' (2), tain-p's (1), tain-ps (1), tains' (1), tainsp' (1), taimpe (1), timp's (1), tinpes (1), tinps (1), tin-p' (1), 'tain-p' (1)
lyrical;lyrical, lyricale, lyricalement, lyricales, lyricaux, lyricals, lyrilycal, lyrical'ment, lyrikal;236;lyrical (120), lyricale (47), lyricalement (39), lyricales (17), lyricaux (7), lyricals (3), lyrilycal (1), lyrical'ment (1), lyrikal (1)
shab;shab, srabs, sahbi, shabs, shrab, srab, shrabs, srhab, srhabs, shabi, sahb, sahbs, sahrbi, sahab, srahbs;227;shab (49), srabs (39), sahbi (33), shabs (32), shrab (30), srab (22), shrabs (11), srhab (3), srhabs (2), shabi (1), sahb (1), sahbs (1), sahrbi (1), sahab (1), srahbs (1)
ter-ter;ter-ter, terter, terre-terre, ter-terre, ter-ters, tèr-tèr, terters, ter-ter';246;ter-ter (186), terter (44), terre-terre (8), ter-terre (3), ter-ters (2), tèr-tèr (1), terters (1), ter-ter' (1)
stud';stud', studs';267;stud' (266), studs' (1)
diff';diff', dif';236;diff' (207), dif' (29)
bat';bat';121;bat' (121)
sère-mi;sère-mi, zermi, zer-mi, zère-mi, sèr-mi, sères-mi, sere-mi, 'sère-mi, 'sère-mi', sèremi, zèr-mi, seremi;186;sère-mi (135), zermi (27), zer-mi (6), zère-mi (4), sèr-mi (2), sères-mi (2), sere-mi (2), 'sère-mi (2), 'sère-mi' (2), sèremi (2), zèr-mi (1), seremi (1)
babtou;babtou, babtous, babtoues, bab-tou;215;babtou (123), babtous (90), babtoues (1), bab-tou (1)
gova;gova, govas, go-va, gos-va;164;gova (139), govas (13), go-va (11), gos-va (1)
du-per;du-per, duper, dus-per, du-per', due-per, 'du-per', dus-per', du-perd, duper';230;du-per (142), duper (52), dus-per (23), du-per' (3), due-per (3), 'du-per' (2), dus-per' (2), du-perd (2), duper' (1)
frelo;frelo, frelos, frelots, frell, frell', frel', frells, frel, frele, frelo', frello;88;frelo (43), frelos (17), frelots (14), frell (5), frell' (2), frel' (2), frells (1), frel (1), frele (1), frelo' (1), frello (1)
caille-ra;caille-ra, cailles-ra, caille-ras, 'cailles-ra';136;caille-ra (94), cailles-ra (38), caille-ras (3), 'cailles-ra' (1)
akhi;akhi, akhis, akhy, akhé, akhey;153;akhi (145), akhis (3), akhy (3), akhé (1), akhey (1)
blème;blème, 'blèmes, 'blème, blèmes, blems, blem, blem', blemes, 'blême, 'blêmes, blèmes', 'blemes, blèm, 'blems, 'blèm, 'blem, 'bleme, blèms;243;blème (66), 'blèmes (59), 'blème (40), blèmes (36), blems (10), blem (7), blem' (5), blemes (3), 'blême (3), 'blêmes (3), blèmes' (2), 'blemes (2), blèm (2), 'blems (1), 'blèm (1), 'blem (1), 'bleme (1), blèms (1)
twerk;twerk, twerker, twerke, twerkent, twerkes, twerks, twerkin, twerkais, twerkant, twerké, twerkeuse, twerkiez;148;twerk (66), twerker (33), twerke (29), twerkent (8), twerkes (3), twerks (3), twerkin (1), twerkais (1), twerkant (1), twerké (1), twerkeuse (1), twerkiez (1)
bé-tom;bé-tom, ber-tom, bé-ton, be-tom, bétom, bés-tom, ber-ton, 'ber-tom', bes-tom, bé-tom', bé-tonm, be-ton, ber-tom', 'bés-tom', bée-tom;226;bé-tom (91), ber-tom (59), bé-ton (21), be-tom (20), bétom (14), bés-tom (7), ber-ton (3), 'ber-tom' (3), bes-tom (2), bé-tom' (1), bé-tonm (1), be-ton (1), ber-tom' (1), 'bés-tom' (1), bée-tom (1)
taga;taga, tagas, tagasses, tagass, tagasse, taga';205;taga (191), tagas (6), tagasses (3), tagass (2), tagasse (2), taga' (1)
sip;sip, sippin', sip', sippin, sipp', sippe, sippent, sipp'in, sipper, sipin, sipin', sippeurs, sipant, sippais;129;sip (72), sippin' (20), sip' (15), sippin (6), sipp' (5), sippe (2), sippent (2), sipp'in (1), sipper (1), sipin (1), sipin' (1), sippeurs (1), sipant (1), sippais (1)
inch'allah;inch'allah, inchallah, insh'allah, inshallah, incha'allah, insha'allah, inshaallah, inchaallah, inchalah, inchalla;181;inch'allah (114), inchallah (26), insh'allah (14), inshallah (12), incha'allah (6), insha'allah (4), inshaallah (2), inchaallah (1), inchalah (1), inchalla (1)
punchline;punchline, punchliner, punchlineur, punch-line, punch-lignes, punchliners;211;punchline (191), punchliner (12), punchlineur (5), punch-line (1), punch-lignes (1), punchliners (1)
llets-bi;llets-bi, llet-bi, illet-bi, illets-bi, lliets-bi, illetbi, ietts-b', illet-bs, illets-b, lletbi, llets-b', lletts-bi, lliet-bi;146;llets-bi (57), llet-bi (40), illet-bi (21), illets-bi (18), lliets-bi (2), illetbi (1), ietts-b' (1), illet-bs (1), illets-b (1), lletbi (1), llets-b' (1), lletts-bi (1), lliet-bi (1)
story;story, story's, storie;160;story (156), story's (2), storie (2)
teuf;teuf, teufs, te-fê, teuf', te-fé, teuff;144;teuf (103), teufs (24), te-fê (8), teuf' (5), te-fé (3), teuff (1)
bro;bro, bros, brother, brothers, bro', brotha, brotherz, bro's;132;bro (53), bros (24), brother (21), brothers (15), bro' (14), brotha (2), brotherz (2), bro's (1)
gent-ar;gent-ar, gen-ar, gen-art, gents-ar, gent-ar';192;gent-ar (155), gen-ar (31), gen-art (3), gents-ar (2), gent-ar' (1)
te-shi;te-shi, teu-shi, teushi, teuchi, te-chi, t-shi, teshi, teu-chi, teu-schi, ti-shi;204;te-shi (95), teu-shi (33), teushi (31), teuchi (20), te-chi (8), t-shi (7), teshi (5), teu-chi (3), teu-schi (1), ti-shi (1)
lambo;lambo, lambo', lamb', lambos;105;lambo (64), lambo' (39), lamb' (1), lambos (1)
cain-ri;cain-ri, cainri, cainris, cains-ri, cain-ris, cains-'ri, cain-'ri, cainry, cain'-'ri, cainrys;181;cain-ri (59), cainri (51), cainris (39), cains-ri (20), cain-ris (4), cains-'ri (2), cain-'ri (2), cainry (2), cain'-'ri (1), cainrys (1)
oinj;oinj, oinj', oint-j, oin-j, oinjs, oints-j, oin-je, oinj-t, oin'-j, oinje, oinjes, oinjt;159;oinj (69), oinj' (30), oint-j (28), oin-j (10), oinjs (10), oints-j (4), oin-je (2), oinj-t (2), oin'-j (1), oinje (1), oinjes (1), oinjt (1)
fight;fight, fighter;162;fight (145), fighter (17)
drip;drip;225;
ieps;ieps, iep, ieds-p, ied-p, iep', ièp, ieds-p', iepds, 'iep, ie-p, ied-p', ieu-p, 'ieds-p', iep-ds, ieps', iepd, 'ied-p', ieup, 'ieps, ièps, iép, iép', ieupé;143;ieps (38), iep (26), ieds-p (21), ied-p (12), iep' (7), ièp (5), ieds-p' (4), iepds (4), 'iep (4), ie-p (3), ied-p' (2), ieu-p (2), 'ieds-p' (2), iep-ds (2), ieps' (2), iepd (2), 'ied-p' (1), ieup (1), 'ieps (1), ièps (1), iép (1), iép' (1), ieupé (1)
zinc;zinc, zinc', zincs, sin-c', zincs', zin-c', zinc's, 'zinc, zink', sin-c;186;zinc (89), zinc' (49), zincs (27), sin-c' (7), zincs' (5), zin-c' (3), zinc's (2), 'zinc (2), zink' (1), sin-c (1)
cro-mi;cro-mi, cromi, 'cro-mi', cro-mi', cros-mi, cromis, cro-im;221;cro-mi (179), cromi (24), 'cro-mi' (8), cro-mi' (4), cros-mi (3), cromis (2), cro-im (1)
move;move, mové, moov, movin', mooves, movez, movez', moovés, movin;97;move (78), mové (4), moov (4), movin' (3), mooves (2), movez (2), movez' (2), moovés (1), movin (1)
tej;tej, tèj, tej', téj, té-je, tè-je, tèje, te-je, tèjent, te-j, 'tej, te-jè, te-jé, teuj, ter-j, ter-je, tè-j, tte-je;178;tej (64), tèj (37), tej' (30), téj (13), té-je (8), tè-je (5), tèje (4), te-je (3), tèjent (3), te-j (3), 'tej (1), te-jè (1), te-jé (1), teuj (1), ter-j (1), ter-je (1), tè-j (1), tte-je (1)
level;level, levels;149;level (148), levels (1)
gadji;gadji, gadjo, gadjis, gadjos, gadgi, gadgis, gadjies, gadgo, gardjo;170;gadji (69), gadjo (35), gadjis (34), gadjos (26), gadgi (2), gadgis (1), gadjies (1), gadgo (1), gardjo (1)
opé;opé, opé', opés;165;opé (98), opé' (55), opés (12)
askip;askip, askip', aski', aski;103;askip (95), askip' (6), aski' (1), aski (1)
dar;dar, dar', dars;153;dar (128), dar' (13), dars (12)
pe-pom;pe-pom, pé-pom, per-pom, pes-pom, pépom, pepom, peu-pom, pe-pon, peupom, pe-poms, pepoms, 'pé-pom', pé-pon;176;pe-pom (70), pé-pom (35), per-pom (29), pes-pom (9), pépom (9), pepom (7), peu-pom (5), pe-pon (4), peupom (2), pe-poms (2), pepoms (2), 'pé-pom' (1), pé-pon (1)
indé;indé, indé', indés;205;indé (115), indé' (77), indés (13)
muerte;muerte, muerta, muertos, muerto;80;muerte (75), muerta (3), muertos (1), muerto (1)
racli;racli, raclis, raclos, raclo, raclots, raclie, racli', raclies, raclises, racllis, racl', raclo';238;racli (110), raclis (52), raclos (38), raclo (25), raclots (6), raclie (1), racli' (1), raclies (1), raclises (1), racllis (1), racl' (1), raclo' (1)
té-cô;té-cô, té-co, téco, te-cô, técô, té-côt, te-co, té-cô', tè-co', técos, tée-co;218;té-cô (127), té-co (58), téco (20), te-cô (5), técô (2), té-côt (1), te-co (1), té-cô' (1), tè-co' (1), técos (1), tée-co (1)
cops;cops, cops';127;cops (124), cops' (3)
kil';kil', kils, kils', kil's;219;kil' (142), kils (62), kils' (8), kil's (7)
cheum;cheum, cheums, cheum', cheums', 'cheum';160;cheum (142), cheums (12), cheum' (4), cheums' (1), 'cheum' (1)
relou;relou, relous, re-lou, relou', res-lou;145;relou (105), relous (23), re-lou (15), relou' (1), res-lou (1)
dinero;dinero, dineros;81;dinero (45), dineros (36)
nada;nada;204;
ness-bi;ness-bi, nessbi, nesbi, ness-bui, snes-b, zness-bi, nes-bi, ness-biz, sness-bi, 'ness-bui', ness-bi', ness-bis, ness-buis, ness-buis', ness-b, 'ness-bu, sness-bui, ness-bui';138;ness-bi (77), nessbi (18), nesbi (9), ness-bui (7), snes-b (4), zness-bi (4), nes-bi (3), ness-biz (3), sness-bi (3), 'ness-bui' (2), ness-bi' (1), ness-bis (1), ness-buis (1), ness-buis' (1), ness-b (1), 'ness-bu (1), sness-bui (1), ness-bui' (1)
te-trai;te-trai, te-traî, tes-traî, tes-trai, te-trais, teutraî, tetrai, tetrais, tetré, teutrés, teutrai, teutraîs, teu-traî, teu-tré, teu-trés, teutre;150;te-trai (43), te-traî (41), tes-traî (36), tes-trai (11), te-trais (3), teutraî (2), tetrai (2), tetrais (2), tetré (2), teutrés (2), teutrai (1), teutraîs (1), teu-traî (1), teu-tré (1), teu-trés (1), teutre (1)
falsh;falsh, falsch, falche, falches, falch, falshs, falsh', falschs, falsher;112;falsh (34), falsch (27), falche (19), falches (11), falch (9), falshs (9), falsh' (1), falschs (1), falsher (1)
stone;stone, stoned, stonarisé;120;stone (118), stoned (1), stonarisé (1)
gardav';gardav', garde-à-v', gardav, gard'av, gardes-à-v', garde-av, garde-av', gardave, garde-à-v, gard'à'v, gard'à-v', gard-a-v', gard-av, gardav's;160;gardav' (71), garde-à-v' (29), gardav (25), gard'av (15), gardes-à-v' (4), garde-av (3), garde-av' (3), gardave (3), garde-à-v (2), gard'à'v (1), gard'à-v' (1), gard-a-v' (1), gard-av (1), gardav's (1)
fuego;fuego;58;fuego (58)
niaks;niaks, niak, niac, niak's, niakh, niacks, niaxx, niack, niaks', niak', niakhs, niax', niac', niacs;159;niaks (117), niak (19), niac (4), niak's (3), niakh (3), niacks (3), niaxx (2), niack (2), niaks' (1), niak' (1), niakhs (1), niax' (1), niac' (1), niacs (1)
capuché;capuché, capuchés, capuchée;135;capuché (114), capuchés (17), capuchée (4)
haram;haram, haramistes, haramifié, haramis;140;haram (134), haramistes (4), haramifié (1), haramis (1)
puta;puta, puto, putas, putos;139;puta (79), puto (31), putas (16), putos (13)
gro-né;gro-né, gros-né, groné, gro-ne, gronés;83;gro-né (60), gros-né (12), groné (9), gro-ne (1), gronés (1)
loose;loose, looser, lose, loser, loosé, loos', loosés, loses;124;loose (44), looser (28), lose (26), loser (22), loosé (1), loos' (1), loosés (1), loses (1)
compet';compet', compet, compèt, compéts', compets, compét, compéts, compèts;75;compet' (47), compet (13), compèt (7), compéts' (3), compets (2), compét (1), compéts (1), compèts (1)
diez;diez, dieze, diezes, djézer, djéssi;144;diez (137), dieze (3), diezes (2), djézer (1), djéssi (1)
hamdoullah;hamdoullah, hamdoulah, hamdoulilah, hamdullah, hamdoulillah, hamdou', hamdulillah, hamdulilah, hamdou, alhamdulillah, hamdoullilah, al-hamdoulillah, hamdoula, hamdoulaah, hamdoulila, hamdullilah, alhamdoulilah, al-hamdoulilah;112;hamdoullah (42), hamdoulah (22), hamdoulilah (10), hamdullah (9), hamdoulillah (8), hamdou' (5), hamdulillah (3), hamdulilah (2), hamdou (2), alhamdulillah (1), hamdoullilah (1), al-hamdoulillah (1), hamdoula (1), hamdoulaah (1), hamdoulila (1), hamdullilah (1), alhamdoulilah (1), al-hamdoulilah (1)
khabat;khabat, khabats, khabate, khabatt, khabbate;139;khabat (131), khabats (5), khabate (1), khabatt (1), khabbate (1)
uc;uc, uc', ul-c, 'uc, uls-c, u-c, uc's, ucs, ul-c', uc-l, ulc, uls-c', ul'c, u-c', u'c;201;uc (94), uc' (46), ul-c (36), 'uc (5), uls-c (4), u-c (3), uc's (2), ucs (2), ul-c' (2), uc-l (2), ulc (1), uls-c' (1), ul'c (1), u-c' (1), u'c (1)
aç;aç, ac', a-ç, aç', 'à-ç', 'a-ç', àç', a-ç';164;aç (96), ac' (30), a-ç (27), aç' (6), 'à-ç' (2), 'a-ç' (1), àç' (1), a-ç' (1)
stup;stup, stups', stup's;124;stup (111), stups' (11), stup's (2)
goddamn;goddamn, gaddamn, godamn, gadamn, gaddam, gadem, gaddamn', gaddemn;107;goddamn (56), gaddamn (36), godamn (4), gadamn (4), gaddam (4), gadem (1), gaddamn' (1), gaddemn (1)
teuch;teuch, teush, teuch', teuchs, te-sh', te-sh, teu-ch, teu-ch', teu-sh', teush', teu-ish, t-sh', teu-sh, te-ch;107;teuch (56), teush (20), teuch' (11), teuchs (4), te-sh' (3), te-sh (3), teu-ch (3), teu-ch' (1), teu-sh' (1), teush' (1), teu-ish (1), t-sh' (1), teu-sh (1), te-ch (1)
aka;aka;141;aka (141)
dark;dark, darks;150;dark (147), darks (3)
hustler;hustler, hustlers, hustla, hussle, hustlin', hustleuse, husler, hussler, hustlaz, hustla', hustlarde, hustlin, huslin, hustle's, hustlers's;135;hustler (72), hustlers (27), hustla (17), hussle (3), hustlin' (3), hustleuse (2), husler (2), hussler (2), hustlaz (1), hustla' (1), hustlarde (1), hustlin (1), huslin (1), hustle's (1), hustlers's (1)
bounce;bounce, bouncer, bouncent, bounces, bouncé;67;bounce (56), bouncer (7), bouncent (2), bounces (1), bouncé (1)
mouv';mouv', mouv;84;mouv' (72), mouv (12)
tout-par;tout-par, tou-par, tout-part, tout-par', toutpar, toupar;154;tout-par (138), tou-par (6), tout-part (5), tout-par' (2), toutpar (2), toupar (1)
féfé;féfé, fefe, féfés, fé-fé, féfé', fefe', 'féfé', fée-fée;137;féfé (99), fefe (23), féfés (5), fé-fé (4), féfé' (3), fefe' (1), 'féfé' (1), fée-fée (1)
gé-char;gé-char, ger-char, gée-char, gées-char, gée-char', ge-char, ger-char';114;gé-char (87), ger-char (14), gée-char (9), gées-char (1), gée-char' (1), ge-char (1), ger-char' (1)
adios;adios, adiós;41;adios (37), adiós (4)
beur;beur, beurs, beu-r, beure, beur';158;beur (82), beurs (72), beu-r (2), beure (1), beur' (1)
me-ar;me-ar, mes-ar, mé-ar, me-ars, mée-ar, me-arm, mes-ar', més-ar;137;me-ar (72), mes-ar (48), mé-ar (8), me-ars (4), mée-ar (2), me-arm (1), mes-ar' (1), més-ar (1)
jnouns;jnouns, jnoun, jnouné, jnouney, jnounés, jnouner, jnounes, jnoounes, jnoon, jnooné, jnoune, jnouneys, jnounées;142;jnouns (61), jnoun (37), jnouné (18), jnouney (10), jnounés (5), jnouner (3), jnounes (2), jnoounes (1), jnoon (1), jnooné (1), jnoune (1), jnouneys (1), jnounées (1)
bling-bling;bling-bling, bling-blings, blings-blings;134;bling-bling (125), bling-blings (6), blings-blings (3)
crari;crari, craris, krari, craries, crar';165;crari (151), craris (7), krari (5), craries (1), crar' (1)
mille-fa;mille-fa, mifa, mi-fa, miffa, millefa, mille-af, mifa', mille'fa, mille-a-f;146;mille-fa (68), mifa (49), mi-fa (17), miffa (5), millefa (2), mille-af (2), mifa' (1), mille'fa (1), mille-a-f (1)
zbeul;zbeul, sbeul, zbeuleur, zbeule, zbeuhl, zbel, zbeuleurs, zbeulettique, sbeuhl, sbeul', sbeule, sbeull, sbeuln;137;zbeul (116), sbeul (8), zbeuleur (2), zbeule (2), zbeuhl (1), zbel (1), zbeuleurs (1), zbeulettique (1), sbeuhl (1), sbeul' (1), sbeule (1), sbeull (1), sbeuln (1)
easy;easy;174;
blèmes-pro;blèmes-pro, blème-pro, blem-pro, blem-pros, bleme-pro, blême-pro, blème-pro', blémes-pro, blèmepro, blèmpros, blèmes-pro', blèmepros, blèm-pros, blèm-pro, 'blèmes-pro', blemes-pro, blempros, blémepro, blems-pro, bèmes-pro;131;blèmes-pro (74), blème-pro (25), blem-pro (7), blem-pros (3), bleme-pro (3), blême-pro (2), blème-pro' (2), blémes-pro (2), blèmepro (2), blèmpros (1), blèmes-pro' (1), blèmepros (1), blèm-pros (1), blèm-pro (1), 'blèmes-pro' (1), blemes-pro (1), blempros (1), blémepro (1), blems-pro (1), bèmes-pro (1)
foolek;foolek, foulek, fouleks, fooleks, fouleck, foulecks, foulec, fooleck;86;foolek (42), foulek (25), fouleks (7), fooleks (7), fouleck (2), foulecks (1), foulec (1), fooleck (1)
michtos;michtos, michto, michto', micheto';143;michtos (68), michto (67), michto' (7), micheto' (1)
pillave;pillave, pillavent, pillaves, pillav, pillaveurs, llave-pi, pillavait, pilliave, pillav';183;pillave (159), pillavent (7), pillaves (6), pillav (3), pillaveurs (3), llave-pi (2), pillavait (1), pilliave (1), pillav' (1)
rockstar;rockstar, rockstars, rock-star, rocksta, rock-stars, rocsta;84;rockstar (66), rockstars (9), rock-star (5), rocksta (2), rock-stars (1), rocsta (1)
roro;roro, ro-ro, roros, roro', ro-ros;157;roro (139), ro-ro (13), roros (3), roro' (1), ro-ros (1)
veau-cer;veau-cer, veaux-cer, veaucer, veaucers, vau-cer, veaux-cer';185;veau-cer (157), veaux-cer (14), veaucer (8), veaucers (3), vau-cer (2), veaux-cer' (1)
véner;véner, vénèr, vener, véner', vé-ner, vénerre, véners, vener', veners, vénèrs, vé-'ner, vé-nère, 'vé-ner', 'vée-ner', 'vés-ner', vénére, vénerer, ve-ner, vènére, vé-ner', vé-nere, vé-nér, vénér, 'vées-ner';148;véner (33), vénèr (32), vener (30), véner' (14), vé-ner (10), vénerre (2), véners (2), vener' (2), veners (2), vénèrs (2), vé-'ner (2), vé-nère (2), 'vé-ner' (2), 'vée-ner' (2), 'vés-ner' (2), vénére (1), vénerer (1), ve-ner (1), vènére (1), vé-ner' (1), vé-nere (1), vé-nér (1), vénér (1), 'vées-ner' (1)
de-mer;de-mer, demer, de-mer', 'de-mer';156;de-mer (150), demer (4), de-mer' (1), 'de-mer' (1)
haters;haters, hater, hater's, haterz;139;haters (118), hater (17), hater's (2), haterz (2)
fame;fame, fames';97;fame (96), fames' (1)
popo;popo, popo', popos;124;popo (122), popo' (1), popos (1)
selfie;selfie, selfies;145;selfie (86), selfies (59)
miskine;miskine, meskine, miskina, miskines, meskina, meskin, meskines, meskinne, miskinas;148;miskine (77), meskine (33), miskina (15), miskines (7), meskina (5), meskin (5), meskines (4), meskinne (1), miskinas (1)
sheguey;sheguey, shegueys, shegueysses, shegey, shegeys, shegguey, sheyguey;49;sheguey (33), shegueys (11), shegueysses (1), shegey (1), shegeys (1), shegguey (1), sheyguey (1)
ue-r;ue-r, ur, ur', ur-e, u-re, ues-r, u-r, ure';125;ue-r (50), ur (42), ur' (21), ur-e (6), u-re (3), ues-r (1), u-r (1), ure' (1)
killu';killu', killu, killus, kilu, killus', kilou, kilu';82;killu' (34), killu (29), killus (11), kilu (5), killus' (1), kilou (1), kilu' (1)
son-pri;son-pri, zon-pri, sonpri, zonpri, son-pri', sons-pri;132;son-pri (112), zon-pri (11), sonpri (4), zonpri (3), son-pri' (1), sons-pri (1)
chouf;chouf, chouffe, chouf', chouffer, choufs, choufe, chouf-chouf, choufer, chouffent, tchouffer;90;chouf (63), chouffe (9), chouf' (6), chouffer (3), choufs (3), choufe (2), chouf-chouf (1), choufer (1), chouffent (1), tchouffer (1)
rabza;rabza, rabzas, rabzouz, rabes-a, rab-za, rabza', rabsa, rabsas, rabsats, rabzouss, rabzouzettes;128;rabza (47), rabzas (46), rabzouz (20), rabes-a (6), rab-za (3), rabza' (1), rabsa (1), rabsas (1), rabsats (1), rabzouss (1), rabzouzettes (1)
teub;teub, teubs, teub', te-ub, teube, teubs';90;teub (70), teubs (14), teub' (3), te-ub (1), teube (1), teubs' (1)
comico;comico, comico', comicos;156;comico (142), comico' (8), comicos (6)
good;good;155;
deep;deep, deeper;107;deep (104), deeper (3)
braquo;braquo, braquos, bracos, braquo', brako, braco', braquot, bracko;125;braquo (63), braquos (27), bracos (23), braquo' (5), brako (4), braco' (1), braquot (1), bracko (1)
corazon;corazon, corazón, corasón;45;corazon (23), corazón (21), corasón (1)
rates-pi;rates-pi, rate-pi, ratp, ratpis, ratpi, rat-pi, ratepi, rat'pis, ratepis, rat-pis;102;rates-pi (27), rate-pi (21), ratp (20), ratpis (13), ratpi (10), rat-pi (6), ratepi (2), rat'pis (1), ratepis (1), rat-pis (1)
auch;auch, aud-ch, auch', auch's, 'auch, 'aud-ch', 'auds-ch', aud-ch', aude-ch;132;auch (66), aud-ch (32), auch' (28), auch's (1), 'auch (1), 'aud-ch' (1), 'auds-ch' (1), aud-ch' (1), aude-ch (1)
walou;walou, wallou, walouh, wallouh;85;walou (64), wallou (19), walouh (1), wallouh (1)
sista;sista, sistas, sister, sisters, sistah, sista', sista's;117;sista (51), sistas (29), sister (25), sisters (7), sistah (3), sista' (1), sista's (1)
teubé;teubé, te-bê, teubés, teu-bé, teu-bés, teu-bê, tebé, tes-bê, teubée, te-bés, te-bé, teubè, teubê, te-bè, te-bês, teu-be, teus-bé, tebê, tes-bés, tes-bê';107;teubé (33), te-bê (31), teubés (12), teu-bé (10), teu-bés (3), teu-bê (2), tebé (2), tes-bê (2), teubée (1), te-bés (1), te-bé (1), teubè (1), teubê (1), te-bè (1), te-bês (1), teu-be (1), teus-bé (1), tebê (1), tes-bés (1), tes-bê' (1)
ler-par;ler-par, lé-par, le-par, 'ler-par', lépar, lerpar, 'lé-par', lez-par, lé-parle;112;ler-par (72), lé-par (26), le-par (5), 'ler-par' (3), lépar (2), lerpar (1), 'lé-par' (1), lez-par (1), lé-parle (1)
perquis';perquis', perquise, perquises, perquis, perquiz', perquise', perquiz, perquize, perquisent, perquiser, perquisait;178;perquis' (91), perquise (46), perquises (15), perquis (7), perquiz' (5), perquise' (5), perquiz (3), perquize (2), perquisent (2), perquiser (1), perquisait (1)
